Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.5412		1.7994		0.5849		0.3019		0.00050000
2		0.3663		0.4583		0.7055		0.6970		0.00049955
3		0.3201		0.4646		0.7452		0.7205		0.00049910
4		0.2944		0.4587		0.7643		0.6904		0.00049865
5		0.2612		0.7196		0.7885		0.6329		0.00049820
6		0.2629		0.6336		0.7873		0.5999		0.00049775
7		0.2317		1.2780		0.8043		0.3920		0.00049730
8		0.2289		0.3966		0.8090		0.6839		0.00049685
9		0.2192		0.2944		0.8263		0.8012		0.00049640
10		0.1875		0.7764		0.8508		0.5886		0.00049595
11		0.1867		0.2998		0.8492		0.7802		0.00049550
12		0.1813		0.2966		0.8527		0.8019		0.00049505
13		0.1684		0.5297		0.8612		0.6904		0.00049460
14		0.1754		0.2810		0.8571		0.8109		0.00049415
15		0.1622		0.5336		0.8676		0.6840		0.00049370
16		0.1509		0.2535		0.8765		0.8425		0.00049324
17		0.1391		1.5029		0.8845		0.4912		0.00049279
18		0.1314		0.3368		0.8895		0.8173		0.00049234
19		0.1506		0.5380		0.8780		0.6984		0.00049189
20		0.1354		1.1116		0.8844		0.5777		0.00049144
21		0.1392		0.6771		0.8876		0.6599		0.00049099
22		0.1271		0.3119		0.8932		0.7971		0.00049054
23		0.1239		0.3200		0.8972		0.8099		0.00049009
24		0.1089		0.2734		0.9082		0.8377		0.00048964
25		0.1172		0.4988		0.9011		0.7721		0.00048919
26		0.1051		0.2323		0.9153		0.8481		0.00048874
27		0.1140		0.3207		0.9080		0.8222		0.00048828
28		0.1008		0.3420		0.9159		0.8109		0.00048783
29		0.0883		0.3446		0.9274		0.8284		0.00048738
30		0.0828		0.3926		0.9315		0.8008		0.00048693
31		0.0974		0.9216		0.9203		0.6582		0.00048648
32		0.1016		0.3201		0.9167		0.8019		0.00048603
33		0.0923		0.3951		0.9196		0.8212		0.00048558
34		0.0803		0.3651		0.9329		0.8180		0.00048513
35		0.0999		0.1971		0.9141		0.8685		0.00048467
36		0.0967		0.4024		0.9211		0.8067		0.00048422
37		0.0769		0.2374		0.9360		0.8731		0.00048377
38		0.0745		0.3361		0.9357		0.8325		0.00048332
39		0.0671		0.2661		0.9432		0.8666		0.00048287
40		0.0677		0.2591		0.9429		0.8702		0.00048242
41		0.0714		0.3299		0.9404		0.8193		0.00048196
42		0.0772		0.5890		0.9350		0.7440		0.00048151
43		0.0782		0.4071		0.9354		0.8006		0.00048106
44		0.0701		0.3357		0.9405		0.8430		0.00048061
45		0.0822		0.3669		0.9303		0.7357		0.00048016
46		0.0817		0.8655		0.9330		0.6891		0.00047970
47		0.0663		0.6374		0.9457		0.7423		0.00047925
48		0.0647		0.3174		0.9440		0.8350		0.00047880
49		0.0636		0.3384		0.9471		0.8519		0.00047835
50		0.0541		0.3847		0.9539		0.8241		0.00047789
51		0.0546		0.4941		0.9529		0.7986		0.00047744
52		0.0592		0.4216		0.9498		0.8302		0.00047699
53		0.0576		0.2275		0.9495		0.8725		0.00047654
54		0.0612		0.3046		0.9478		0.8662		0.00047609
55		0.0503		0.4985		0.9572		0.8123		0.00047563
56		0.0513		0.6965		0.9555		0.7575		0.00047518
57		0.0521		0.3057		0.9560		0.8415		0.00047473
58		0.0559		0.2629		0.9533		0.8628		0.00047428
59		0.0512		0.2527		0.9571		0.8743		0.00047382
60		0.0487		0.2751		0.9585		0.8788		0.00047337
61		0.0498		0.3869		0.9574		0.8430		0.00047292
62		0.0689		0.4487		0.9415		0.7796		0.00047246
63		0.0586		0.3740		0.9506		0.8303		0.00047201
64		0.0680		0.3168		0.9416		0.8457		0.00047156
65		0.0541		0.2335		0.9545		0.8782		0.00047111
66		0.0484		0.3191		0.9584		0.8650		0.00047065
67		0.0423		0.3236		0.9626		0.8632		0.00047020
68		0.0669		0.3096		0.9468		0.7927		0.00046975
69		0.0881		0.3666		0.9308		0.8243		0.00046929
70		0.0582		0.3652		0.9502		0.8347		0.00046884
71		0.0468		0.3111		0.9596		0.8676		0.00046839
72		0.0476		0.5034		0.9591		0.8065		0.00046793
73		0.0464		0.4249		0.9604		0.8291		0.00046748
74		0.0449		0.2619		0.9611		0.8731		0.00046703
75		0.0422		0.4532		0.9635		0.8089		0.00046657
76		0.0428		0.4398		0.9632		0.8291		0.00046612
77		0.0405		0.3450		0.9643		0.8533		0.00046567
78		0.0419		0.3442		0.9639		0.8402		0.00046521
79		0.0391		0.4637		0.9664		0.8249		0.00046476
80		0.0379		0.3053		0.9669		0.8664		0.00046431
81		0.0369		0.4323		0.9678		0.8369		0.00046385
82		0.0367		0.3788		0.9675		0.8436		0.00046340
83		0.0493		0.3631		0.9583		0.8559		0.00046294
84		0.0638		0.3779		0.9453		0.8497		0.00046249
85		0.0610		0.2353		0.9491		0.8805		0.00046204
86		0.0547		0.9872		0.9540		0.6873		0.00046158
87		0.0472		1.0231		0.9588		0.6771		0.00046113
88		0.0416		0.5801		0.9641		0.7909		0.00046067
89		0.0405		0.2671		0.9646		0.8729		0.00046022
90		0.0371		0.4099		0.9677		0.8363		0.00045977
91		0.0376		0.3004		0.9680		0.8711		0.00045931
92		0.0417		1.0119		0.9639		0.7017		0.00045886
93		0.0387		0.3307		0.9654		0.8606		0.00045840
94		0.0385		0.3826		0.9662		0.8433		0.00045795
95		0.0533		0.5097		0.9568		0.8530		0.00045749
96		0.0418		0.3335		0.9638		0.8693		0.00045704
97		0.0366		0.3042		0.9691		0.8556		0.00045658
98		0.0363		0.3710		0.9687		0.8620		0.00045613
99		0.0342		0.3022		0.9698		0.8696		0.00045568
100		0.0311		0.3044		0.9724		0.8697		0.00045522
101		0.0333		0.3623		0.9711		0.8511		0.00045477
102		0.0422		0.5584		0.9643		0.7724		0.00045431
103		0.0668		0.3726		0.9451		0.8372		0.00045386
104		0.0462		0.5682		0.9608		0.8065		0.00045340
105		0.0424		0.2210		0.9634		0.8852		0.00045295
106		0.0367		0.4980		0.9682		0.8281		0.00045249
107		0.0312		0.3633		0.9720		0.8527		0.00045204
108		0.0313		0.5813		0.9725		0.7797		0.00045158
109		0.0386		0.4030		0.9684		0.8498		0.00045113
110		0.0379		0.2998		0.9668		0.8673		0.00045067
111		0.0325		0.2746		0.9722		0.8736		0.00045022
112		0.0304		0.3172		0.9735		0.8726		0.00044976
113		0.0331		0.6648		0.9711		0.7634		0.00044931
114		0.0339		0.3877		0.9715		0.8472		0.00044885
115		0.0299		0.3678		0.9736		0.8678		0.00044839
116		0.0284		0.4078		0.9747		0.8414		0.00044794
117		0.0271		0.3660		0.9758		0.8523		0.00044748
118		0.0427		0.3177		0.9640		0.8457		0.00044703
119		0.0602		0.4870		0.9513		0.6934		0.00044657
120		0.0778		0.3015		0.9373		0.8109		0.00044612
121		0.0521		0.3678		0.9550		0.8397		0.00044566
122		0.0447		0.2455		0.9634		0.8599		0.00044520
123		0.0419		0.4046		0.9636		0.8309		0.00044475
124		0.0334		0.3794		0.9711		0.8598		0.00044429
125		0.0288		0.3458		0.9748		0.8543		0.00044384
126		0.0394		0.4838		0.9661		0.8061		0.00044338
127		0.0323		0.4070		0.9714		0.8272		0.00044293
128		0.0282		0.3459		0.9751		0.8639		0.00044247
129		0.0262		0.5353		0.9767		0.8084		0.00044201
130		0.0279		0.4821		0.9759		0.8101		0.00044156
131		0.0259		0.3965		0.9770		0.8481		0.00044110
132		0.0260		0.4236		0.9765		0.8403		0.00044064
133		0.0282		0.3849		0.9752		0.8484		0.00044019
134		0.0258		0.2906		0.9767		0.8815		0.00043973
135		0.0323		0.2773		0.9723		0.8678		0.00043927
136		0.0331		1.1191		0.9715		0.6694		0.00043882
137		0.0485		0.3613		0.9594		0.8441		0.00043836
138		0.0423		0.2380		0.9636		0.8628		0.00043790
139		0.0628		0.3734		0.9476		0.8411		0.00043745
140		0.0539		0.3817		0.9541		0.8281		0.00043699
141		0.0403		0.3172		0.9650		0.8596		0.00043653
142		0.0306		0.2669		0.9732		0.8794		0.00043608
143		0.0285		0.3550		0.9748		0.8529		0.00043562
144		0.0290		0.3944		0.9749		0.8349		0.00043516
145		0.0293		0.3581		0.9739		0.8533		0.00043471
146		0.0264		0.4285		0.9769		0.8373		0.00043425
147		0.0251		0.3881		0.9779		0.8465		0.00043379
148		0.0243		0.3438		0.9784		0.8573		0.00043334
149		0.0234		0.3735		0.9789		0.8523		0.00043288
150		0.0244		0.3242		0.9788		0.8650		0.00043242
151		0.0239		0.3467		0.9791		0.8652		0.00043196
152		0.0231		0.4218		0.9791		0.8501		0.00043151
153		0.0228		0.3462		0.9799		0.8643		0.00043105
154		0.0235		0.4355		0.9790		0.8240		0.00043059
155		0.0237		0.3581		0.9793		0.8591		0.00043013
156		0.0219		0.3267		0.9806		0.8639		0.00042968
157		0.0251		0.3148		0.9780		0.8583		0.00042922
158		0.0263		1.3292		0.9774		0.6571		0.00042876
159		0.0249		0.2891		0.9781		0.8755		0.00042830
160		0.0261		0.3655		0.9773		0.8477		0.00042784
161		0.0307		0.6404		0.9732		0.7837		0.00042739
162		0.0320		0.3889		0.9726		0.8415		0.00042693
163		0.0522		1.1252		0.9554		0.6598		0.00042647
164		0.0426		0.5066		0.9643		0.8004		0.00042601
165		0.0815		0.3643		0.9308		0.8243		0.00042555
166		0.0549		1.6923		0.9541		0.5452		0.00042510
167		0.0403		0.5648		0.9655		0.7881		0.00042464
168		0.0296		0.3357		0.9740		0.8684		0.00042418
169		0.0275		1.2325		0.9757		0.6604		0.00042372
170		0.0278		0.3293		0.9755		0.8675		0.00042326
171		0.0246		0.4377		0.9783		0.8345		0.00042281
172		0.0242		0.3938		0.9785		0.8511		0.00042235
173		0.0241		0.4034		0.9789		0.8476		0.00042189
174		0.0266		0.5771		0.9775		0.7979		0.00042143
175		0.0480		0.4586		0.9596		0.8321		0.00042097
176		0.0315		0.5973		0.9720		0.7987		0.00042051
177		0.0270		0.3017		0.9766		0.8698		0.00042005
178		0.0251		0.3497		0.9778		0.8632		0.00041959
179		0.0275		0.3783		0.9763		0.8462		0.00041914
180		0.0237		0.5005		0.9790		0.8254		0.00041868
181		0.0222		0.3724		0.9804		0.8557		0.00041822
182		0.0216		0.3165		0.9807		0.8733		0.00041776
183		0.0221		0.3549		0.9801		0.8610		0.00041730
184		0.0212		0.3204		0.9813		0.8697		0.00041684
185		0.0205		0.4546		0.9812		0.8392		0.00041638
186		0.0220		0.4304		0.9808		0.8211		0.00041592
187		0.0212		0.3264		0.9808		0.8706		0.00041546
188		0.0203		0.3485		0.9822		0.8640		0.00041500
189		0.0199		0.3760		0.9821		0.8605		0.00041454
190		0.0233		0.2621		0.9794		0.8894		0.00041408
191		0.0283		0.7742		0.9752		0.6890		0.00041362
192		0.0508		0.2707		0.9580		0.8764		0.00041317
193		0.0414		0.4284		0.9645		0.8388		0.00041271
194		0.0352		0.2700		0.9696		0.8776		0.00041225
195		0.0318		0.2665		0.9728		0.8700		0.00041179
196		0.0277		0.3594		0.9756		0.8469		0.00041133
197		0.0247		0.2497		0.9788		0.8895		0.00041087
198		0.0231		0.4366		0.9795		0.8400		0.00041041
199		0.0208		0.3681		0.9813		0.8599		0.00040995
200		0.0214		0.4325		0.9812		0.8340		0.00040949
201		0.0220		0.5592		0.9804		0.8181		0.00040903
202		0.0200		0.4121		0.9825		0.8407		0.00040857
203		0.0214		0.5027		0.9810		0.8277		0.00040811
204		0.0212		0.3489		0.9809		0.8618		0.00040765
205		0.0218		0.6082		0.9807		0.8031		0.00040718
206		0.0202		0.3198		0.9820		0.8725		0.00040672
207		0.0191		0.3502		0.9829		0.8592		0.00040626
208		0.0184		0.4033		0.9832		0.8503		0.00040580
209		0.0178		0.4756		0.9840		0.8417		0.00040534
210		0.0180		0.3079		0.9837		0.8704		0.00040488
211		0.0190		0.3696		0.9832		0.8646		0.00040442
212		0.0176		0.3672		0.9839		0.8568		0.00040396
213		0.0184		0.3140		0.9838		0.8730		0.00040350
214		0.0198		0.3396		0.9822		0.8709		0.00040304
215		0.0194		0.5376		0.9830		0.8225		0.00040258
216		0.0196		0.3333		0.9824		0.8660		0.00040212
217		0.0183		0.3537		0.9838		0.8647		0.00040166
218		0.0173		0.3909		0.9841		0.8607		0.00040120
219		0.0178		0.3928		0.9838		0.8605		0.00040073
220		0.0192		0.3295		0.9831		0.8638		0.00040027
221		0.0185		0.4924		0.9839		0.8338		0.00039981
222		0.0201		0.7465		0.9815		0.7645		0.00039935
223		0.0616		0.4758		0.9499		0.8080		0.00039889
224		0.0662		0.4677		0.9442		0.8159		0.00039843
225		0.0884		0.3378		0.9249		0.8567		0.00039797
226		0.0648		0.2297		0.9467		0.8503		0.00039750
227		0.0465		0.3569		0.9613		0.8302		0.00039704
228		0.0323		0.4321		0.9721		0.8228		0.00039658
229		0.0278		0.2793		0.9753		0.8825		0.00039612
230		0.0248		0.3173		0.9780		0.8694		0.00039566
231		0.0245		0.4069		0.9786		0.8566		0.00039520
232		0.0223		0.3879		0.9800		0.8533		0.00039473
233		0.0212		0.3343		0.9814		0.8649		0.00039427
234		0.0205		0.4003		0.9815		0.8538		0.00039381
235		0.0215		0.2966		0.9811		0.8724		0.00039335
236		0.0198		0.3456		0.9823		0.8652		0.00039288
237		0.0203		0.3590		0.9818		0.8652		0.00039242
238		0.0206		0.3003		0.9817		0.8813		0.00039196
239		0.0213		0.3005		0.9810		0.8767		0.00039150
240		0.0204		0.3974		0.9817		0.8472		0.00039104
241		0.0193		0.3536		0.9827		0.8593		0.00039057
242		0.0188		0.3366		0.9836		0.8679		0.00039011
243		0.0188		0.3585		0.9832		0.8627		0.00038965
244		0.0191		0.4142		0.9831		0.8444		0.00038919
245		0.0184		0.3726		0.9835		0.8574		0.00038872
246		0.0189		0.3189		0.9829		0.8775		0.00038826
247		0.0177		0.3123		0.9846		0.8753		0.00038780
248		0.0168		0.3321		0.9850		0.8787		0.00038733
249		0.0178		0.4092		0.9838		0.8472		0.00038687
250		0.0179		0.3249		0.9837		0.8733		0.00038641
251		0.0178		0.3585		0.9842		0.8662		0.00038594
252		0.0183		0.2756		0.9838		0.8900		0.00038548
253		0.0189		0.2514		0.9830		0.8870		0.00038502
254		0.0180		0.2643		0.9840		0.8816		0.00038456
255		0.0170		0.3930		0.9848		0.8642		0.00038409
256		0.0188		0.3196		0.9834		0.8726		0.00038363
257		0.0223		0.3429		0.9803		0.8480		0.00038316
258		0.0228		0.3163		0.9801		0.8837		0.00038270
259		0.0193		0.3977		0.9828		0.8583		0.00038224
260		0.0170		0.3284		0.9847		0.8759		0.00038177
261		0.0165		0.3934		0.9848		0.8619		0.00038131
262		0.0172		0.2565		0.9847		0.8876		0.00038085
263		0.0324		0.3685		0.9724		0.8436		0.00038038
264		0.0586		0.4807		0.9525		0.8290		0.00037992
265		0.0331		0.2217		0.9715		0.8994		0.00037945
266		0.0232		0.3805		0.9799		0.8492		0.00037899
267		0.0217		0.4683		0.9808		0.8236		0.00037853
268		0.0209		0.3089		0.9813		0.8779		0.00037806
269		0.0186		0.3185		0.9838		0.8746		0.00037760
270		0.0190		0.3617		0.9829		0.8655		0.00037713
271		0.0191		0.4352		0.9831		0.8400		0.00037667
272		0.0176		0.4114		0.9842		0.8537		0.00037621
273		0.0175		0.4585		0.9845		0.8406		0.00037574
274		0.0197		0.3371		0.9828		0.8755		0.00037528
275		0.0171		0.3728		0.9846		0.8607		0.00037481
276		0.0168		0.3484		0.9848		0.8624		0.00037435
277		0.0163		0.3706		0.9854		0.8611		0.00037388
278		0.0161		0.3658		0.9855		0.8653		0.00037342
279		0.0158		0.3507		0.9855		0.8671		0.00037295
280		0.0165		0.3674		0.9854		0.8671		0.00037249
281		0.0167		0.3337		0.9850		0.8746		0.00037202
282		0.0177		0.3001		0.9843		0.8788		0.00037156
283		0.0171		0.3963		0.9846		0.8555		0.00037109
284		0.0179		0.4506		0.9842		0.8461		0.00037063
285		0.0171		0.3643		0.9848		0.8643		0.00037016
286		0.0155		0.4007		0.9862		0.8554		0.00036970
287		0.0154		0.3509		0.9860		0.8786		0.00036923
288		0.0147		0.4014		0.9869		0.8646		0.00036877
289		0.0151		0.5003		0.9861		0.8456		0.00036830
290		0.0171		0.2746		0.9848		0.8953		0.00036783
291		0.0161		0.3349		0.9856		0.8823		0.00036737
292		0.0165		1.5416		0.9855		0.6351		0.00036690
293		0.0174		0.2919		0.9847		0.8819		0.00036644
294		0.0187		0.4260		0.9836		0.8527		0.00036597
295		0.0269		0.3212		0.9773		0.8359		0.00036551
