Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.5364		0.7556		0.6189		0.3019		0.00050000
2		0.3815		0.5018		0.7175		0.6079		0.00049910
3		0.3406		0.4422		0.7385		0.6830		0.00049820
4		0.3108		0.5036		0.7592		0.6490		0.00049730
5		0.2605		0.6247		0.8015		0.6325		0.00049640
6		0.2528		0.6487		0.8089		0.5425		0.00049550
7		0.2444		0.8929		0.8157		0.4915		0.00049460
8		0.2305		0.4087		0.8229		0.7396		0.00049370
9		0.2198		0.4052		0.8358		0.7481		0.00049279
10		0.2020		0.6069		0.8432		0.6470		0.00049189
11		0.1841		0.4046		0.8577		0.7171		0.00049099
12		0.1857		0.4771		0.8578		0.7209		0.00049009
13		0.1687		0.6504		0.8693		0.6471		0.00048919
14		0.1607		0.4093		0.8792		0.7180		0.00048828
15		0.1406		0.2835		0.8914		0.8155		0.00048738
16		0.1442		0.5634		0.8871		0.6915		0.00048648
17		0.1536		0.3532		0.8828		0.7855		0.00048558
18		0.1413		1.1751		0.8885		0.5429		0.00048467
19		0.1462		0.5246		0.8848		0.7082		0.00048377
20		0.1550		0.7359		0.8808		0.6307		0.00048287
21		0.1285		0.2937		0.9003		0.7939		0.00048196
22		0.1219		0.3225		0.9053		0.7978		0.00048106
23		0.1279		0.3215		0.8992		0.8232		0.00048016
24		0.1172		0.3155		0.9080		0.8110		0.00047925
25		0.1178		0.9641		0.9092		0.6348		0.00047835
26		0.1170		0.2792		0.9096		0.8261		0.00047744
27		0.1067		0.2974		0.9188		0.8310		0.00047654
28		0.1123		0.4320		0.9140		0.7424		0.00047563
29		0.1021		0.3565		0.9194		0.8241		0.00047473
30		0.1327		0.3315		0.8970		0.8204		0.00047382
31		0.1008		0.2895		0.9201		0.8341		0.00047292
32		0.1017		0.3368		0.9202		0.7923		0.00047201
33		0.0977		0.3167		0.9233		0.8324		0.00047111
34		0.0891		0.3861		0.9325		0.7801		0.00047020
35		0.0800		0.3580		0.9354		0.8114		0.00046929
36		0.0899		0.3231		0.9311		0.8275		0.00046839
37		0.0789		0.2792		0.9374		0.8545		0.00046748
38		0.0812		0.2836		0.9371		0.8485		0.00046657
39		0.0794		0.2832		0.9376		0.8455		0.00046567
40		0.0740		0.4616		0.9411		0.8145		0.00046476
41		0.0661		0.2934		0.9473		0.8499		0.00046385
42		0.0673		0.3735		0.9460		0.8269		0.00046294
43		0.0738		0.3139		0.9398		0.8302		0.00046204
44		0.0758		0.3004		0.9398		0.8571		0.00046113
45		0.0651		0.7232		0.9483		0.7183		0.00046022
46		0.0651		0.9895		0.9488		0.6727		0.00045931
47		0.0669		0.4045		0.9466		0.8150		0.00045840
48		0.0640		0.4963		0.9489		0.7472		0.00045749
49		0.0666		0.3904		0.9474		0.8299		0.00045658
50		0.0861		0.2858		0.9337		0.8451		0.00045568
51		0.0856		0.4889		0.9335		0.7632		0.00045477
52		0.0712		0.2890		0.9443		0.8480		0.00045386
53		0.0638		0.3037		0.9502		0.8234		0.00045295
54		0.0579		0.3564		0.9538		0.8222		0.00045204
55		0.0552		0.5632		0.9552		0.7812		0.00045113
56		0.0579		0.3162		0.9527		0.8572		0.00045022
57		0.0532		0.4692		0.9577		0.7991		0.00044931
58		0.0551		0.4342		0.9564		0.8240		0.00044839
59		0.0513		0.5292		0.9598		0.7832		0.00044748
60		0.0492		0.3605		0.9602		0.8464		0.00044657
61		0.0487		0.3126		0.9613		0.8528		0.00044566
62		0.0477		0.2711		0.9613		0.8698		0.00044475
