Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.6852		0.6478		0.4309		0.4653		0.00050000
2		0.5256		0.5581		0.5714		0.6059		0.00049910
3		0.4467		0.5106		0.6528		0.6189		0.00049820
4		0.4030		0.5309		0.6831		0.5796		0.00049730
5		0.3682		0.4576		0.7160		0.6724		0.00049640
6		0.3467		0.4390		0.7434		0.7002		0.00049550
7		0.3102		0.4049		0.7806		0.7269		0.00049460
8		0.3005		0.3835		0.7805		0.7545		0.00049370
9		0.2805		0.3640		0.8040		0.7588		0.00049279
10		0.2646		0.3312		0.8198		0.7847		0.00049189
11		0.2406		0.3325		0.8401		0.7848		0.00049099
12		0.2291		0.3048		0.8461		0.8072		0.00049009
13		0.2184		0.2983		0.8500		0.8169		0.00048919
14		0.2086		0.3179		0.8596		0.7977		0.00048828
15		0.1978		0.2797		0.8664		0.8281		0.00048738
16		0.1894		0.2901		0.8741		0.8193		0.00048648
17		0.1761		0.2737		0.8829		0.8334		0.00048558
18		0.1705		0.2431		0.8883		0.8485		0.00048467
19		0.1559		0.2499		0.8986		0.8448		0.00048377
20		0.1461		0.2713		0.9028		0.8336		0.00048287
21		0.1447		0.2721		0.9036		0.8360		0.00048196
22		0.1323		0.2779		0.9144		0.8331		0.00048106
23		0.1236		0.3184		0.9194		0.8130		0.00048016
24		0.1170		0.2426		0.9263		0.8524		0.00047925
25		0.1149		0.2719		0.9255		0.8368		0.00047835
26		0.1101		0.3044		0.9282		0.8258		0.00047744
27		0.1013		0.2348		0.9355		0.8577		0.00047654
28		0.0996		0.3028		0.9361		0.8230		0.00047563
29		0.0969		0.2540		0.9371		0.8509		0.00047473
30		0.0947		0.2398		0.9378		0.8532		0.00047382
31		0.0874		0.2752		0.9444		0.8410		0.00047292
32		0.0822		0.2761		0.9468		0.8342		0.00047201
33		0.0770		0.2926		0.9503		0.8361		0.00047111
34		0.0806		0.2620		0.9480		0.8412		0.00047020
35		0.0760		0.2775		0.9501		0.8402		0.00046929
36		0.0718		0.2578		0.9542		0.8529		0.00046839
37		0.0719		0.2291		0.9526		0.8646		0.00046748
38		0.0685		0.3022		0.9552		0.8325		0.00046657
39		0.0642		0.3523		0.9580		0.8179		0.00046567
40		0.0639		0.2675		0.9576		0.8505		0.00046476
41		0.0612		0.3318		0.9589		0.8220		0.00046385
42		0.0626		0.2314		0.9574		0.8584		0.00046294
43		0.0593		0.2871		0.9600		0.8403		0.00046204
44		0.0559		0.2727		0.9614		0.8507		0.00046113
45		0.0539		0.3069		0.9636		0.8428		0.00046022
46		0.0532		0.2743		0.9630		0.8535		0.00045931
47		0.0506		0.2738		0.9645		0.8579		0.00045840
48		0.0483		0.2915		0.9667		0.8443		0.00045749
49		0.0495		0.2787		0.9648		0.8459		0.00045658
50		0.0568		0.2961		0.9602		0.8325		0.00045568
51		0.0510		0.3079		0.9636		0.8364		0.00045477
52		0.0511		0.3608		0.9631		0.8270		0.00045386
53		0.0448		0.2625		0.9676		0.8603		0.00045295
54		0.0448		0.3690		0.9680		0.8165		0.00045204
55		0.0442		0.3146		0.9673		0.8453		0.00045113
56		0.0430		0.3546		0.9697		0.8204		0.00045022
57		0.0426		0.3007		0.9683		0.8544		0.00044931
58		0.0452		0.2490		0.9668		0.8677		0.00044839
59		0.0435		0.3220		0.9683		0.8381		0.00044748
60		0.0389		0.2441		0.9712		0.8684		0.00044657
61		0.0388		0.3079		0.9709		0.8488		0.00044566
62		0.0412		0.3192		0.9690		0.8506		0.00044475
63		0.0415		0.2745		0.9692		0.8545		0.00044384
64		0.0419		0.2765		0.9687		0.8559		0.00044293
65		0.0412		0.2537		0.9697		0.8660		0.00044201
66		0.0360		0.3461		0.9728		0.8384		0.00044110
67		0.0363		0.2655		0.9727		0.8704		0.00044019
68		0.0347		0.2791		0.9736		0.8676		0.00043927
69		0.0344		0.2702		0.9736		0.8697		0.00043836
70		0.0335		0.2865		0.9744		0.8684		0.00043745
71		0.0319		0.3493		0.9754		0.8391		0.00043653
72		0.0328		0.3518		0.9750		0.8373		0.00043562
73		0.0361		0.2799		0.9720		0.8787		0.00043471
74		0.0391		0.2874		0.9704		0.8670		0.00043379
75		0.0347		0.3435		0.9732		0.8556		0.00043288
76		0.0361		0.2539		0.9728		0.8745		0.00043196
