Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.5420		0.8026		0.6309		0.3019		0.00050000
2		0.3711		0.5160		0.7193		0.6210		0.00049910
3		0.3372		0.6231		0.7468		0.6003		0.00049820
4		0.3096		0.6609		0.7638		0.6344		0.00049730
5		0.2755		0.4712		0.7886		0.6601		0.00049640
6		0.2503		0.6733		0.8075		0.5961		0.00049550
7		0.2321		0.3104		0.8247		0.7835		0.00049460
8		0.2515		0.4192		0.8091		0.6889		0.00049370
9		0.2175		0.4376		0.8343		0.7161		0.00049279
10		0.1987		0.7950		0.8451		0.5921		0.00049189
11		0.1953		0.3459		0.8554		0.8180		0.00049099
12		0.1842		0.4915		0.8589		0.7291		0.00049009
13		0.1726		0.6095		0.8692		0.6619		0.00048919
14		0.1550		0.5964		0.8786		0.6639		0.00048828
15		0.1588		0.3621		0.8786		0.7688		0.00048738
16		0.1522		0.5077		0.8858		0.7132		0.00048648
17		0.1367		0.2898		0.8968		0.8024		0.00048558
18		0.1451		0.3046		0.8859		0.7846		0.00048467
19		0.1388		0.4146		0.8962		0.7426		0.00048377
20		0.1282		0.4177		0.8962		0.7610		0.00048287
21		0.1303		1.0648		0.8991		0.5826		0.00048196
22		0.1160		0.3493		0.9108		0.8128		0.00048106
23		0.1100		0.4002		0.9134		0.7760		0.00048016
24		0.1106		0.3548		0.9143		0.8198		0.00047925
25		0.1184		0.3502		0.9060		0.7805		0.00047835
26		0.1175		0.3444		0.9075		0.8033		0.00047744
27		0.1131		0.2862		0.9124		0.8150		0.00047654
28		0.1050		0.5178		0.9182		0.6969		0.00047563
29		0.1085		0.4422		0.9154		0.7984		0.00047473
30		0.0918		0.3352		0.9272		0.8165		0.00047382
31		0.1049		0.4641		0.9180		0.7449		0.00047292
32		0.0970		0.3892		0.9247		0.8042		0.00047201
33		0.0977		0.4150		0.9218		0.7832		0.00047111
34		0.0922		0.5766		0.9275		0.7230		0.00047020
35		0.0851		0.4523		0.9338		0.7899		0.00046929
36		0.0811		0.3204		0.9370		0.8197		0.00046839
37		0.0780		0.2697		0.9391		0.8453		0.00046748
38		0.0794		0.3117		0.9374		0.8499		0.00046657
39		0.0833		0.4596		0.9355		0.7426		0.00046567
40		0.0756		0.2564		0.9407		0.8616		0.00046476
41		0.0699		0.3487		0.9455		0.8250		0.00046385
42		0.0703		0.2939		0.9439		0.8383		0.00046294
43		0.0672		0.2878		0.9459		0.8677		0.00046204
44		0.0681		0.3455		0.9470		0.7984		0.00046113
