ImgName: bakul3_001_000100.png , {'pitch': 1, 'roll': 1, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': -1, 'templ': 86, 'temph': 88, 'tof': 138, 'h': 100, 'bat': 82, 'baro': 634.41, 'time': 150, 'agx': 26.0, 'agy': -14.0, 'agz': -981.0}
ImgName: bakul3_001_000130.png , {'pitch': 1, 'roll': 1, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 85, 'temph': 87, 'tof': 168, 'h': 130, 'bat': 82, 'baro': 634.59, 'time': 156, 'agx': -23.0, 'agy': -21.0, 'agz': -972.0}
ImgName: bakul3_001_000150.png , {'pitch': 0, 'roll': 1, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 85, 'temph': 87, 'tof': 189, 'h': 150, 'bat': 80, 'baro': 634.83, 'time': 163, 'agx': -16.0, 'agy': -35.0, 'agz': -1031.0}
ImgName: bakul3_001_000180.png , {'pitch': 0, 'roll': 1, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 84, 'temph': 87, 'tof': 212, 'h': 180, 'bat': 79, 'baro': 635.06, 'time': 168, 'agx': 11.0, 'agy': -6.0, 'agz': -1021.0}
ImgName: bakul3_001_000200.png , {'pitch': 0, 'roll': 1, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 84, 'temph': 86, 'tof': 233, 'h': 200, 'bat': 78, 'baro': 635.35, 'time': 173, 'agx': 2.0, 'agy': -9.0, 'agz': -1005.0}
ImgName: bakul3_001_000230.png , {'pitch': 0, 'roll': 2, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 84, 'temph': 86, 'tof': 265, 'h': 230, 'bat': 77, 'baro': 635.5, 'time': 178, 'agx': -5.0, 'agy': -42.0, 'agz': -977.0}
ImgName: bakul3_001_000260.png , {'pitch': 0, 'roll': 1, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 84, 'temph': 86, 'tof': 294, 'h': 260, 'bat': 76, 'baro': 635.71, 'time': 186, 'agx': 23.0, 'agy': -58.0, 'agz': -1049.0}
ImgName: bakul3_001_000280.png , {'pitch': 0, 'roll': 0, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 83, 'temph': 85, 'tof': 317, 'h': 280, 'bat': 75, 'baro': 635.88, 'time': 191, 'agx': -49.0, 'agy': -13.0, 'agz': -1004.0}
ImgName: bakul3_001_000340.png , {'pitch': 3, 'roll': 0, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': -1, 'templ': 83, 'temph': 86, 'tof': 366, 'h': 340, 'bat': 74, 'baro': 636.4, 'time': 198, 'agx': 54.0, 'agy': -26.0, 'agz': -939.0}
ImgName: bakul3_001_000370.png , {'pitch': 2, 'roll': 2, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 84, 'temph': 85, 'tof': 407, 'h': 370, 'bat': 73, 'baro': 636.5, 'time': 205, 'agx': 15.0, 'agy': -54.0, 'agz': -1081.0}
ImgName: bakul3_001_000390.png , {'pitch': 1, 'roll': 1, 'yaw': 128, 'vgx': 0, 'vgy': 0, 'vgz': 0, 'templ': 83, 'temph': 85, 'tof': 421, 'h': 390, 'bat': 72, 'baro': 636.73, 'time': 213, 'agx': -20.0, 'agy': -21.0, 'agz': -990.0}
